city,mascot,schlet,pfrlet
Arizona,cardinals ,ari,crd
Atlanta,falcons ,atl,atl
Baltimore,ravens ,bal,rav
Buffalo,bills ,buf,buf
Carolina,panthers ,car,car
Chicago,bears ,chi,chi
Cincinnati,bengals ,cin,cin
Cleveland,browns ,cle,cle
Dallas,cowboys ,dal,dal
Denver,broncos ,den,den
Detroit,lions ,det,det
Green Bay,packers ,gb,gnb
Houston,texans ,hou,htx
Indianapolis,colts ,ind,clt
Jacksonville,jaguars ,jac,jax
Kansas City,chiefs ,kc,kan
Los Angeles,chargers ,lac,sdg
Los Angeles,rams ,lar,ram
Miami,dolphins ,mia,mia
Minnesota,vikings ,min,min
New England,patriots ,ne,nwe
New Orleans,saints ,no,nor
New York,giants ,nyg,nyg
New York,jets ,nyj,nyj
Las Vegas,raiders ,lv,rai
Philadelphia,eagles ,phi,phi
Pittsburgh,steelers ,pit,pit
San Francisco,49ers ,sf,sfo
Seattle,seahawks ,sea,sea
Tampa Bay,buccaneers ,tb,tam
Tennessee,titans ,ten,oti
Washington,commanders,wc,was
